Indicator,Value,Reference year,Source
Total population,109276265,2024,World Bank
Total population,112832473,2025,World Bank
"Population growth, per cent a year",3.2,2025,World Bank
"Crude birth rate, per thousand",41.31,2023,World Bank
"Crude birth rate, per thousand",40.88,2024,World Bank
Net migration,-27309,2025,World Bank
"Total fertility rate, children per woman",5.8,2024,UN population division
"Median age, years",15.9,2024,UN population division
"Urban share of the population, per cent",45.4,2026,UN population division
"GDP per capita, current $",806.8,2025,World Bank
