Indicator,Value,Source and year
Corruption Perceptions Index,"20 / 100, 163rd of 182","Transparency International, 2025"
"CPIA, overall","3,1 / 6","World Bank, 2024"
"CPIA, transparency, accountability and corruption","2,5 / 6","World Bank, 2024"
"CPIA, public sector management and institutions","2,6 / 6","World Bank, 2024"
"Ibrahim index, overall governance","32,8 / 100, 48th of 54","Mo Ibrahim Foundation, 2023"
"Ibrahim index, anti-corruption","15,8 / 100, 51st","Mo Ibrahim Foundation, 2023"
"Ibrahim index, accountability and transparency","23,3 / 100, 39th","Mo Ibrahim Foundation, 2023"
"Open Budget Survey, budget transparency",41 / 100,"Budget Partnership, 2025"
"Open Budget Survey, public participation",31 / 100,"Budget Partnership, 2025"
"Open Budget Survey, budget oversight",52 / 100,"Budget Partnership, 2025"
EITI validation score,"85,5 / 100","EITI Board, October 2022"
"Worldwide Governance Indicators, percentile ranks",Discontinued,"World Bank, 2025 revision"
