"Province","Entity","Type","Population 2026"
"Bas-Uele","Aketi","Territoire",221726
"Bas-Uele","Ango","Territoire",111815
"Bas-Uele","Bambesa","Territoire",134346
"Bas-Uele","Bondo","Territoire",271560
"Bas-Uele","Buta","Territoire",282199
"Bas-Uele","Poko","Territoire",242180
"Bas-Uele","Dingila","Ville / entité urbaine",0
"Equateur","Basankusu","Territoire",400786
"Equateur","Bikoro","Territoire",346334
"Equateur","Bolomba","Territoire",483380
"Equateur","Bomongo","Territoire",206968
"Equateur","Ingende","Territoire",279030
"Equateur","Lukolela","Territoire",192738
"Equateur","Makanza","Territoire",131634
"Equateur","Mbandaka","Ville / entité urbaine",408266
"Haut-Katanga","Kambove","Territoire",1007675
"Haut-Katanga","Kasenga","Territoire",692892
"Haut-Katanga","Kipushi","Territoire",335416
"Haut-Katanga","Mitwaba","Territoire",328904
"Haut-Katanga","Pweto","Territoire",638386
"Haut-Katanga","Sakania","Territoire",265368
"Haut-Katanga","Likasi","Ville / entité urbaine",159613
"Haut-Katanga","Lubumbashi","Ville / entité urbaine",2674288
"Haut-Lomami","Bukama","Territoire",1189429
"Haut-Lomami","Kabongo","Territoire",835624
"Haut-Lomami","Kamina","Territoire",693189
"Haut-Lomami","Kaniama","Territoire",319914
"Haut-Lomami","Malemba-Nkulu","Territoire",1036173
"Haut-Uele","Dungu","Territoire",207029
"Haut-Uele","Faradje","Territoire",389133
"Haut-Uele","Niangara","Territoire",121956
"Haut-Uele","Rungu","Territoire",372419
"Haut-Uele","Wamba","Territoire",436496
"Haut-Uele","Watsa","Territoire",299941
"Haut-Uele","Aba","Ville / entité urbaine",0
"Haut-Uele","Isiro","Ville / entité urbaine",0
"Ituri","Aru","Territoire",1003608
"Ituri","Djugu","Territoire",1820566
"Ituri","Irumu","Territoire",1008551
"Ituri","Mahagi","Territoire",1402056
"Ituri","Mambasa","Territoire",377144
"Ituri","Ariwara","Ville / entité urbaine",0
"Ituri","Bunia","Ville / entité urbaine",0
"Ituri","Ingbokolo","Ville / entité urbaine",0
"Ituri","Mongwalu","Ville / entité urbaine",0
"Kasaï","Dekese","Territoire",162522
"Kasaï","Ilebo","Territoire",578769
"Kasaï","Kamonia","Territoire",2572934
"Kasaï","Luebo","Territoire",438644
"Kasaï","Mweka","Territoire",740091
"Kasaï","Tshikapa","Ville / entité urbaine",0
"Kasaï-Central","Demba","Territoire",804123
"Kasaï-Central","Dibaya","Territoire",611334
"Kasaï-Central","Dimbelenge","Territoire",462144
"Kasaï-Central","Kazumba","Territoire",959649
"Kasaï-Central","Luiza","Territoire",891710
"Kasaï-Central","Kananga","Ville / entité urbaine",1059479
"Kasaï-Central","Tshimbulu","Ville / entité urbaine",0
"Kasaï-Oriental","Kabeya-Kamwanga","Territoire",210712
"Kasaï-Oriental","Katanda","Territoire",444131
"Kasaï-Oriental","Lupatapata","Territoire",361281
"Kasaï-Oriental","Miabi","Territoire",382797
"Kasaï-Oriental","Tshilenge","Territoire",586853
"Kasaï-Oriental","Lukalaba","Ville / entité urbaine",0
"Kasaï-Oriental","Mbuji-Mayi","Ville / entité urbaine",3427551
"Kinshasa","Kinshasa","Ville / entité urbaine",9924784
"Kongo-Central","Kasangulu","Territoire",251106
"Kongo-Central","Kimvula","Territoire",86596
"Kongo-Central","Lukula","Territoire",340894
"Kongo-Central","Luozi","Territoire",266208
"Kongo-Central","Madimba","Territoire",440158
"Kongo-Central","Mbanza-Ngungu","Territoire",726605
"Kongo-Central","Seke-Banza","Territoire",255964
"Kongo-Central","Songololo","Territoire",345342
"Kongo-Central","Tshela","Territoire",431967
"Kongo-Central","Bangu","Ville / entité urbaine",0
"Kongo-Central","Boma","Ville / entité urbaine",178307
"Kongo-Central","Inkisi","Ville / entité urbaine",0
"Kongo-Central","Matadi","Ville / entité urbaine",340040
"Kongo-Central","Moanda","Ville / entité urbaine",355960
"Kwango","Feshi","Territoire",386581
"Kwango","Kahemba","Territoire",430794
"Kwango","Kasongo-Lunda","Territoire",779666
"Kwango","Kenge","Territoire",712497
"Kwango","Popokabaka","Territoire",197794
"Kwilu","Bagata","Territoire",508532
"Kwilu","Bulungu","Territoire",1239190
"Kwilu","Gungu","Territoire",546897
"Kwilu","Idiofa","Territoire",1272897
"Kwilu","Masi-Manimba","Territoire",741480
"Kwilu","Bandundu","Ville / entité urbaine",202944
"Kwilu","Dibaya-Lubwe","Ville / entité urbaine",0
"Kwilu","Kikwit","Ville / entité urbaine",506235
"Kwilu","Mangai","Ville / entité urbaine",0
"Lomami","Kabinda","Territoire",739040
"Lomami","Kamiji","Territoire",109616
"Lomami","Lubao","Territoire",599115
"Lomami","Luilu","Territoire",948821
"Lomami","Ngandajika","Territoire",852877
"Lomami","Mwene-Ditu","Ville / entité urbaine",742525
"Lualaba","Dilolo","Territoire",498860
"Lualaba","Kapanga","Territoire",274692
"Lualaba","Lubudi","Territoire",579318
"Lualaba","Mutshatsha","Territoire",608390
"Lualaba","Sandoa","Territoire",383382
"Lualaba","Kasaji","Ville / entité urbaine",0
"Lualaba","Kolwezi","Ville / entité urbaine",0
"Maniema","Kabambare","Territoire",477265
"Maniema","Kailo","Territoire",157488
"Maniema","Kasongo","Territoire",674657
"Maniema","Kibombo","Territoire",209485
"Maniema","Lubutu","Territoire",222466
"Maniema","Pangi","Territoire",415969
"Maniema","Punia","Territoire",189613
"Maniema","Kalima","Ville / entité urbaine",0
"Maniema","Kindu","Ville / entité urbaine",289598
"Maniema","Namoya","Ville / entité urbaine",0
"Maï-Ndombe","Bolobo","Territoire",149817
"Maï-Ndombe","Inongo","Territoire",408055
"Maï-Ndombe","Kiri","Territoire",203601
"Maï-Ndombe","Kutu","Territoire",407747
"Maï-Ndombe","Kwamouth","Territoire",134953
"Maï-Ndombe","Mushie","Territoire",133346
"Maï-Ndombe","Oshwe","Territoire",359302
"Maï-Ndombe","Yumbi","Territoire",129290
"Maï-Ndombe","Nioki","Ville / entité urbaine",0
"Mongala","Bongandanga","Territoire",805382
"Mongala","Bumba","Territoire",1004202
"Mongala","Lisala","Territoire",712451
"Nord-Kivu","Beni","Territoire",421531
"Nord-Kivu","Lubero","Territoire",1605236
"Nord-Kivu","Masisi","Territoire",2064344
"Nord-Kivu","Nyiragongo","Territoire",477620
"Nord-Kivu","Rutshuru","Territoire",1709877
"Nord-Kivu","Walikale","Territoire",648187
"Nord-Kivu","Butembo","Ville / entité urbaine",801956
"Nord-Kivu","Goma","Ville / entité urbaine",955240
"Nord-Kivu","Oïcha","Ville / entité urbaine",1556661
"Nord-Ubangi","Bosobolo","Territoire",383898
"Nord-Ubangi","Businga","Territoire",554350
"Nord-Ubangi","Mobayi-Mbongo","Territoire",123236
"Nord-Ubangi","Yakoma","Territoire",361682
"Nord-Ubangi","Gbadolite","Ville / entité urbaine",159005
"Sankuru","Katako-Kombe","Territoire",341550
"Sankuru","Kole","Territoire",198311
"Sankuru","Lodja","Territoire",500960
"Sankuru","Lomela","Territoire",217420
"Sankuru","Lubefu","Territoire",454681
"Sankuru","Lusambo","Territoire",334607
"Sankuru","Bena-Dibele","Ville / entité urbaine",0
"Sankuru","Tshumbe","Ville / entité urbaine",0
"Sud-Kivu","Fizi","Territoire",853637
"Sud-Kivu","Idjwi","Territoire",287940
"Sud-Kivu","Kabare","Territoire",1050703
"Sud-Kivu","Kalehe","Territoire",856819
"Sud-Kivu","Mwenga","Territoire",760815
"Sud-Kivu","Shabunda","Territoire",683289
"Sud-Kivu","Uvira","Territoire",870290
"Sud-Kivu","Walungu","Territoire",772956
"Sud-Kivu","Baraka","Ville / entité urbaine",0
"Sud-Kivu","Bukavu","Ville / entité urbaine",968501
"Sud-Kivu","Kamituga","Ville / entité urbaine",0
"Sud-Ubangi","Budjala","Territoire",642765
"Sud-Ubangi","Gemena","Territoire",1241867
"Sud-Ubangi","Kungu","Territoire",488401
"Sud-Ubangi","Libenge","Territoire",417534
"Sud-Ubangi","Zongo","Ville / entité urbaine",81889
"Tanganyika","Kabalo","Territoire",280411
"Tanganyika","Kalemie","Territoire",721683
"Tanganyika","Kongolo","Territoire",546781
"Tanganyika","Manono","Territoire",781118
"Tanganyika","Moba","Territoire",540295
"Tanganyika","Nyunzu","Territoire",288040
"Tanganyika","Kaoze","Ville / entité urbaine",0
"Tshopo","Bafwasende","Territoire",223603
"Tshopo","Banalia","Territoire",273210
"Tshopo","Basoko","Territoire",363228
"Tshopo","Isangi","Territoire",599712
"Tshopo","Opala","Territoire",280146
"Tshopo","Ubundu","Territoire",331687
"Tshopo","Yahuma","Territoire",193963
"Tshopo","Kisangani","Ville / entité urbaine",893612
"Tshopo","Yangambi","Ville / entité urbaine",0
"Tshuapa","Befale","Territoire",329164
"Tshuapa","Boende","Territoire",289606
"Tshuapa","Bokungu","Territoire",628430
"Tshuapa","Djolu","Territoire",381150
"Tshuapa","Ikela","Territoire",352898
"Tshuapa","Monkoto","Territoire",138646
