"Province","Population 2026"
"Nord-Kivu",10240652
"Kinshasa",9924784
"Sud-Kivu",7104950
"Haut-Katanga",6102542
"Ituri",5611925
"Kasaï-Oriental",5413325
"Kwilu",5018175
"Kasaï-Central",4788439
"Kasaï",4492960
"Haut-Lomami",4074329
"Kongo-Central",4019147
"Lomami",3991994
"Tshopo",3159161
"Tanganyika",3158328
"Sud-Ubangi",2872456
"Maniema",2636541
"Mongala",2522035
"Kwango",2507332
"Equateur",2449136
"Lualaba",2344642
"Tshuapa",2119894
"Sankuru",2047529
"Maï-Ndombe",1926111
"Haut-Uele",1826974
"Nord-Ubangi",1582171
"Bas-Uele",1263826
