"Entity","Province","Type","Population 2026"
"Kinshasa","Kinshasa","Ville / entité urbaine",9924784
"Mbuji-Mayi","Kasaï-Oriental","Ville / entité urbaine",3427551
"Lubumbashi","Haut-Katanga","Ville / entité urbaine",2674288
"Kamonia","Kasaï","Territoire",2572934
"Masisi","Nord-Kivu","Territoire",2064344
"Djugu","Ituri","Territoire",1820566
"Rutshuru","Nord-Kivu","Territoire",1709877
"Lubero","Nord-Kivu","Territoire",1605236
"Oïcha","Nord-Kivu","Ville / entité urbaine",1556661
"Mahagi","Ituri","Territoire",1402056
"Idiofa","Kwilu","Territoire",1272897
"Gemena","Sud-Ubangi","Territoire",1241867
"Bulungu","Kwilu","Territoire",1239190
"Bukama","Haut-Lomami","Territoire",1189429
"Kananga","Kasaï-Central","Ville / entité urbaine",1059479
