"['Year', 'Année']","['Copper, $/t', 'Cuivre, $/t']","['Tin, $/t', 'Étain, $/t']","['Zinc, $/t', 'Zinc, $/t']","['Gold, $/toz', 'Or, $/once']","['Brent, $/bbl', 'Brent, $/baril']","['Cocoa, $/kg', 'Cacao, $/kg']","['Coffee arabica, $/kg', 'Café arabica, $/kg']","['Coffee robusta, $/kg', 'Café robusta, $/kg']","['Palm oil, $/t', 'Huile de palme, $/t']","['Rubber TSR20, $/kg', 'Caoutchouc TSR20, $/kg']","['Logs Africa, $/cum', 'Grumes Afrique, $/m3']","['Precious metals, 2010=100', 'Métaux précieux, 2010=100']"
1960,678.76,2196.73,246.19,35.27,1.63,0.589,0.9235,0.6959,224.42,None,None,3.2687
1961,633.08,2449.89,214.31,35.25,1.57,0.4786,0.8955,0.6694,228.42,None,None,3.2776
1962,645.14,2471.38,185.93,35.23,1.52,0.458,0.8326,0.6822,216.24,None,None,3.4259
1963,645.95,2507.73,211.51,35.09,1.5,0.5523,0.8057,0.6235,222.39,None,None,3.5953
1964,969.75,3412.74,326.49,35.1,1.45,0.5057,1.0098,0.7871,239.45,None,None,3.6244
1965,1292.84,3890.78,311.25,35.12,1.42,0.3653,1.0004,0.6783,272.52,None,None,3.6451
1966,1531.51,3573.51,281.11,35.13,1.36,0.5176,0.9287,0.7391,235.64,None,None,3.6492
1967,1134.77,3308.03,273.33,34.95,1.33,0.5981,0.8642,0.7391,223.45,None,None,3.8999
1968,1241.95,3126.88,262.89,38.925,1.32,0.7209,0.867,0.7463,168.83,None,None,4.7259
1969,1467.34,3427.45,286.41,41.0833,1.27,0.8977,0.8767,0.7297,181.11,None,None,4.5447
1970,1415.7,3673.45,295.82,35.9417,1.21,0.675,1.1466,0.9136,260.05,None,42.99,4.2164
1971,1081.42,3511.97,309.28,40.8042,1.69,0.538,0.9919,0.9316,260.94,None,44.43,4.2945
1972,1057.67,3739.96,377.69,58.1592,1.82,0.644,1.1096,0.9961,217.26,None,52.48,5.5356
1973,1785.36,4802.2,845.33,97.3258,2.8075,1.131,1.3735,1.0999,377.54,None,133.47,8.8946
1974,2058.5,8184.27,1239.58,159.25,10.975,1.561,1.4515,1.2935,669.05,None,120.43,14.9145
