Bulletin,Published,Figures as of,Confirmed cases,Deaths,"Case fatality ratio as printed, %",Recovered
2026-DON602,16 May 2026,15 May 2026,—,4,—,—
2026-DON603,21 May 2026,21 May 2026,83,9,11,—
2026-DON605,29 May 2026,27 May 2026,125,17,14,—
2026-DON606,8 June 2026,6 June 2026,515,91,17.7,12
2026-DON607,13 June 2026,10 June 2026,676,136,20.1,32
2026-DON608,19 June 2026,17 June 2026,896,232,26,78
2026-DON612,3 July 2026,1 July 2026,1460,452,30.9,213
2026-DON613,17 July 2026,15 July 2026,2124,828,39,390
2026-DON614,1 August 2026,30 July 2026,3605,1587,44,651
2026-DON615,14 August 2026,12 August 2026,4665,2184,46.8,965
