Outbreak,Years,Province and area,Virus,Cases,Deaths,"Fatal cases, %"
1st,1976,"Équateur, Yambuku",Zaire,318,280,88
2nd,1977,"Équateur, Tandala",Zaire,1,1,100
3rd,1995,Kikwit,Zaire,315,254,81
4th,2007,"Kasaï-Occidental, Luebo and Mweka",Zaire,264,187,71
5th,2008-2009,"Kasaï-Occidental, Mweka and Luebo",Zaire,32,15,47
6th,2012,"Orientale, Isiro",Bundibugyo,62,34,55
7th,2014,"Équateur, Boende",Zaire,69,49,71
8th,2017,Likati,Zaire,8,4,50
9th,2018,"Équateur, Bikoro",Zaire,54,33,61
10th,2018-2020,"North Kivu, Ituri and South Kivu",Zaire,3470,2287,66
11th,2020,"Équateur, Mbandaka",Zaire,130,55,42.3
12th,2021,"North Kivu, Biena",Zaire,12,6,50
13th,2021,"North Kivu, Beni",Zaire,11,9,82
14th,2022,"Équateur, Mbandaka",Zaire,5,5,100
15th,2022,"North Kivu, Beni",Zaire,1,1,100
16th,2025,"Kasaï, Bulape",Zaire,64,45,70
17th,2026,"Ituri, North Kivu, South Kivu, Haut-Uélé, Tshopo, Bas-Uélé",Bundibugyo,4665,2184,46.8
