Reading,Number,Scope and date
"Confirmed cases, DR Congo",4665,as of 12 August 2026
"Deaths among confirmed cases, DR Congo",2184,crude case fatality ratio of 46.8 per cent
"Patients recovered, DR Congo",965,as of 12 August 2026
Confirmed cases in the last twenty-four hours,100,"from 22 health zones, in every affected province but South Kivu"
"Confirmed cases, epidemiological week 32",579,"3 to 9 August 2026, heaviest week recorded to date"
"Deaths, epidemiological week 32",304,"3 to 9 August 2026, heaviest week recorded to date"
Confirmed cases added since the bulletin of 1 August,1060,thirteen days
Deaths added since the bulletin of 1 August,597,thirteen days
Health workers infected,155,"at least, as of 9 August, case fatality ratio of 29 per cent"
Health workers dead,45,as of 9 August 2026
Health workers recovered,68,since the outbreak began
Contacts to be followed up,20740,in the twenty-four hours to 12 August
Contacts actually seen,17460,84.2 per cent of those to be followed up
Provinces affected,6,"Ituri, North Kivu, South Kivu, Haut-Uélé, Tshopo, Bas-Uélé"
Health zones affected,54,the bulletin no longer says how many remain active
Attacks on health care recorded,12,since 17 May 2026
"Confirmed cases, Uganda",20,18 recovered; enhanced monitoring ends 27 August 2026
"Deaths, Uganda",2,as of 12 August 2026
"Confirmed cases, France",1,"imported 24 June, discharged 4 July, no secondary transmission; 41 days without a further case at 14 August"
"Confirmed cases, all countries",4686,including two DR Congo cases treated in Germany
"Deaths, all countries",2186,including two in Uganda
"Patients recovered, all countries",986,"at least, as of 12 August 2026"
