Series,"Std. dev., %",Relative to output,Autocorr. (1),Corr. with output
Output,0.89,1.0,0.98,1.0
Consumption,0.65,0.73,0.98,0.98
Investment,2.67,3.01,0.99,0.89
Hours worked,1.36,1.53,0.98,0.41
Exports,1.79,2.01,0.99,0.89
Imports,2.18,2.45,0.99,0.87
Consumer prices,4.78,5.38,0.98,0.22
Broad money,5.39,6.07,0.89,0.07
Exchange rate,5.58,6.29,0.97,-0.14
Foreign reserves,24.67,27.77,0.84,0.07
Copper price,9.77,11.0,0.91,-0.08
Public revenue,0.4,0.45,0.99,0.17
Public spending,0.23,0.26,0.98,0.39
