Indicator,Value,Year
"Access to electricity, % of population","20,8",2021
"Access to electricity, rural, % of population",≈ 1,2022
"Hydropower, % of electricity produced","99,6",2015
"Inga 1 and 2, installed capacity, MW",1 775,2025
"Total road network, km",152 400,2024
"Paved share of the national road network, %",2,2024
"Individuals using the internet, %","18,0",2022
"Population without basic drinking water, %",64,2024
"Population without basic sanitation, %",84,2024
"Population without basic hygiene, %",81,2024
